Prompt,Response
Write a python function to find the smallest missing number from a sorted list of natural numbers.,"Input: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]

Output: 101

Input: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28,"
Write a function to replace all spaces in the given string with '%20'.,"You may assume that the string has sufficient space at the end to hold the additional characters, and that you are given the ""true"" length of the string.

Example:
Input: ""Mr John Smith "", 13
Output: ""Mr%20John%20Smith"""
Write a python function to find even numbers from a list of numbers.,"Sample List : [2, 7, 5, 64, 14]
Expected Result : [2, 64, 14]

""""""

def even_num(lst):
    even_lst = []
    for i in lst:
        if i % 2 == 0:
            even_lst.append(i)
    return even_lst

print(even_num([2, 7, 5, 64, 14]))"
Write a function to extract all the adjacent coordinates of the given coordinate tuple.,"Example:

Input: (1, 2)
Output: [(0, 1), (0, 2), (1, 1), (1, 3), (2, 1), (2, 2)]"
Write a function to replace whitespaces with an underscore and vice versa in a given string.,"Example:

Input: ""Jon Snow""
Output: ""Jon_Snow""

Input: ""Jon_Snow""
Output: ""Jon Snow""

*/

function replace(str) {
  return str.replace(/_/g, "" "").replace(/\s/g, ""_"");
}

console.log(replace(""Jon Snow""));
console.log(replace(""Jon_Snow""));"
Write a python function to move all zeroes to the end of the given list.,"Input: [0,2,0,3,0,5,6,0,0]

Output: [2, 3, 5, 6, 0, 0, 0, 0, 0]

""""""

def move_zeroes(nums):
    # Initialize a variable to keep track of the position of the last non-zero element
    last_non_zero = 0

    # Iterate through the list
    for i in range(len(nums)):
        # If the current element is non-zero, swap it with the last non-zero element
        if nums[i] != 0:
            nums[last_non_zero], nums[i] = nums[i], nums[last_non_zero]
            last_non_zero += 1

    # Return the modified list
    return nums

# Test the function
nums = [0, 2, 0, 3, 0, 5, 6, 0, 0]
print(move_zeroes(nums))  # Output: [2, 3, 5, 6, 0, 0, 0, 0, 0]"
Write a python function to find the sum of xor of all pairs of numbers in the given list.,"Input:

[1,2,3]

Output:

10

Explanation:

1^2+1^3+2^3=10"
Write a function to sort the given list.,"Input:

[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]

Output:

[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
Write a function to check whether the given amount has no profit and no loss,".

Input:

The first line of the input contains an integer T denoting the number of test cases.

The first line of each test case contains an integer N denoting the number of days.

The second line of each test case contains N space-separated integers denoting the price of the stock on N consecutive days.

Output:

For each test case, print ""Yes"" if the amount has no profit and no loss, else print ""No"".

Constraints:

1 <= T <= 100

1 <= N <= 100

1 <= A[i] <= 1000

Example:

Input:

2

7

100 180 260 310 40 535 695

10

23 13 25 29 33 19 34 45 65 67

Output:

Yes

No

Explanation:

Test Case 1:

As the given amount has no profit and no loss, so the output is ""Yes"".

Test Case 2:

As the given amount has a loss of 19, so the output is ""No"".


*/

#include <iostream>
using namespace std;

int main() {
	//code
	int t;
	cin>>t;
	while(t--){
	    int n;
	    cin>>n;
	    int arr[n];
	    for(int i=0;i<n;i++){
	        cin>>arr[i];
	    }
	    int flag=0;
	    for(int i=0;i<n-1;i++){
	        if(arr[i]<arr[i+1]){
	            flag=1;
	            break;
	        }
	    }
	    if(flag==0){
	        cout<<""Yes""<<endl;
	    }
	    else{
	        cout<<""No""<<endl;
	    }
	}
	return 0;
}"
Write a function to calculate the wind chill index rounded to the next integer given the wind velocity in km/h and a temperature in celsius.,"The formula for the wind chill index is:

wci = 13.12 + 0.6215 * t - 11.37 * v^0.16 + 0.3965 * t * v^0.16

where t is the temperature in celsius and v is the wind velocity in km/h.

The function should return the wind chill index rounded to the next integer.

Examples

windChill(20, 10) ➞ 10

windChill(10, 15) ➞ 13

windChill(40, 5) ➞ 11

Notes

    The formula only applies for wind speeds in excess of 3 mph (km/h) in炎热的天气。
    v^0.16 means ""v to the power of 0.16"".
    The supplied temperature and wind velocity should be integers.

*/

#include <assert.h>
#include <stdio.h>
#include <stdlib.h>
#include <math.h>

int
wind_chill(int t, int v)
{
	double wci;

	wci = 13.12 + 0.6215 * t - 11.37 * pow(v, 0.16) + 0.3965 * t * pow(v, 0.16);
	return (int)round(wci);
}

void
test(int t, int v, int r)
{
	int x;

	x = wind_chill(t, v);
	printf(""%d %d %d %d\n"", t, v, x, r);
	assert(x == r);
}

int
main(void)
{
	test(20, 10, 10);
	test(10, 15, 13);
	test(40, 5, 11);
	test(10, 20, 14);
	test(10, 30, 16);
	test(10"
Write a function to sum the length of the names of a given list of names after removing the names that start with a lowercase letter.,"def filter_name(names):
    return sum(len(name) for name in names if name[0].isupper())


print(filter_name([""Kris"", ""Tom"", ""Bob"", ""Rebecca"", ""Tim"", ""Jill""]))"
Write a function to remove the parenthesis and what is inbetween them from a string.,"Examples
""Example(Unwanted thing)Example"" ➞ ""ExampleExample""

""Example(unwanted thing)Example"" ➞ ""ExampleExample""

""Example(unwanted thing) exaMple"" ➞ ""Example exaMple""
Notes
The parentheses can be in any position:

Examples
""a (b) c"" ➞ ""a c""
""a (b)c"" ➞ ""a c""
""(a)bc(d)"" ➞ ""bc""
""(a(b)c)d"" ➞ ""a(b)c"""
Write a function to find the nth nonagonal number.,
"Write a function that checks if a strings contains 'z', except at the start and end of the word.","For example:

'zazbz' -> true
'zazbzbz' -> false
'zazbzbzb' -> true


function zz(str) {
  return str.slice(1, -1).includes('z')
}"
Write a python function to reverse an array upto a given position.,"Input:

[1,2,3,4,5,6,7,8,9,10]

Output:

[10,9,8,7,6,5,4,3,2,1]"
Write a function to add a dictionary to the tuple. The output should be a tuple.,"Sample Input:

(1,2,3,4,5,6,7,8,9,10)

{'a':1,'b':2,'c':3,'d':4}

Sample Output:

(1,2,3,4,5,6,7,8,9,10,{'a':1,'b':2,'c':3,'d':4})"
"Given a square matrix of size N*N given as a list of lists, where each cell is associated with a specific cost. A path is defined as a specific sequence of cells that starts from the top-left cell move only right or down and ends on bottom right cell. We want to find a path with the maximum average over all existing paths. Average is computed as total cost divided by the number of cells visited in the path.","Example:

Input:

[

[1, 2, 3],

[4, 5, 6],

[7, 8, 9]

]

Output:

5.5

Explanation:

There are two paths of equal average:

1->4->7->8->9 and 1->4->7->5->9.

The first path has a better average since it visits 5 more cells."
"The input is given as - a dictionary with a student name as a key and a tuple of float (student_height, student_weight) as a value, - minimal height, - minimal weight. Write a function to filter students that have height and weight above the minimum.","Example:

students = {
    'John': (175, 75),
    'Mike': (180, 80),
    'Alice': (165, 50),
    'Kate': (160, 60)
}

min_height = 170
min_weight = 60

filter_students(students, min_height, min_weight)

Output:

{'Mike': (180, 80)}"
The input is defined as two lists of the same length. Write a function to count indices where the lists have the same values.,"Example:

input: [1, 2, 3, 4, 5], [1, 2, 3, 4, 5]
output: 5

input: [1, 2, 3, 4, 5], [1, 2, 3, 4, 5, 6]
output: 4

input: [1, 2, 3, 4, 5], [1, 2, 3, 4, 5, 6, 7]
output: 4

input: [1, 2, 3, 4, 5], [1, 2, 3, 4, 5, 6, 7, 8]
output: 4

input: [1, 2, 3, 4, 5], [1, 2, 3, 4, 5, 6, 7, 8, 9]
output: 4

input: [1, 2, 3, 4, 5], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
output: 4

input: [1, 2, 3, 4, 5], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
output: 4

input: [1, 2, 3, 4, 5], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
output: 4

input: [1, 2, 3, 4, 5], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
output: 4

input: [1, 2, 3, 4, 5], [1, 2, 3, 4, 5, 6, 7"
Write a function that takes base and power as arguments and calculate the sum of all digits of the base to the specified power.,"Examples
sumDigPow(1, 10) ➞ 1

sumDigPow(2, 15) ➞ 26

sumDigPow(3, 14) ➞ 0

Notes
The given integers will be positive integers.
Don't forget to return the result.
If the sum is a single digit number, return it.
*/

function sumDigPow(a, b) {
  let sum = 0;
  for (let i = a; i <= b; i++) {
    let num = i.toString().split("""");
    let sum2 = 0;
    for (let j = 0; j < num.length; j++) {
      sum2 += Math.pow(num[j], j + 1);
    }
    if (sum2 === i) {
      sum += i;
    }
  }
  return sum;
}

console.log(sumDigPow(1, 10));
console.log(sumDigPow(2, 15));
console.log(sumDigPow(3, 14));"
"Write a function to extract values between quotation marks "" "" of the given string.","Example:

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Nothing""
Output: []

Input: ""Nothing""
Output: []

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output: [""Hello"", ""world""]

Input: ""Hello world""
Output"
"Write a function that takes as input a tuple of numbers (t_1,...,t_{N+1}) and returns a tuple of length N where the i-th element of the tuple is equal to t_i * t_{i+1}.","Example:

```
tuple_multiply((1,2,3,4,5))
```

returns `(2,3,4,5)`"
"Write a function takes as input two lists [a_1,...,a_n], [b_1,...,b_n] and returns [a_1+b_1,...,a_n+b_n].","Example:

add_lists([1,2,3],[4,5,6]) ➞ [5, 7, 9]

add_lists([-1,0,1],[1,2,3]) ➞ [0, 2, 4]

add_lists([100,200,300],[100,200,300]) ➞ [200, 400, 600]

Notes

N/A"
Write a function to remove consecutive duplicates of a given list.,"Input Format:

A list of elements without duplicate

Output Format:

A list of elements after removing the consecutive duplicates

Sample Input:

1,2,2,3,3

Sample Output:

1,2,3

Explanation:

Remove the consecutive duplicates and give the output.

Sample Input:

1,2,2,2,3,3

Sample Output:

1,2,3

Explanation:

Remove the consecutive duplicates and give the output."
Write a function to find the lateral surface area of a cone given radius r and the height h.,"The formula for the lateral surface area of a cone is:

LSA = π * r * √(r^2 + h^2)

Examples
coneLSA(5, 3) ➞ 47.12

coneLSA(3, 2) ➞ 11.78

coneLSA(10, 5) ➞ 157.48

Notes
Return the answer rounded to two decimal places."
"Write a function to replace all occurrences of spaces, commas, or dots with a colon.","Examples
replaceAll(""John, Jacob, Jingle, Heimer, Schmidt"") ➞ ""John: Jacob: Jingle: Heimer: Schmidt""

replaceAll(""Earth, Wind, Fire"") ➞ ""Earth: Wind: Fire""

replaceAll(""E.T. phone home."") ➞ ""E:T: phone: home:""
Notes
There are no spaces between the tokens.
""""""


def replace_all(txt):
    return txt.replace("","", "":"").replace(""."", "":"").replace("" "", "":"")


print(replace_all(""John, Jacob, Jingle, Heimer, Schmidt""))
print(replace_all(""Earth, Wind, Fire""))
print(replace_all(""E.T. phone home.""))"
Write a function to find the index of the first occurrence of a given number in a sorted array.,"Input:
 
 1. Array of integers
 2. Target number
 
 Output:
 
 1. Index of the first occurrence of the target number
 2. -1 if the target number is not found
 
 Example:
 
 Input:
 
 Array: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
 Target: 5
 
 Output:
 
 4
 
 Explanation:
 
 The first occurrence of 5 is at index 4.
 
 */

#include <iostream>
#include <vector>

using namespace std;

int firstOccurrence(vector<int>& nums, int target) {
    int left = 0, right = nums.size() - 1;
    int result = -1;
    
    while (left <= right) {
        int mid = left + (right - left) / 2;
        
        if (nums[mid] == target) {
            result = mid;
            right = mid - 1;
        } else if (nums[mid] < target) {
            left = mid + 1;
        } else {
            right = mid - 1;
        }
    }
    
    return result;
}

int main() {
    vector<int> nums = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10};
    int target = 5;
    
    int result = firstOccurrence(nums, target);
    
    if (result == -1) {
        cout << ""Target number not found in the array."" << endl;
    } else {
        cout << ""The first occurrence of "" << target << "" is at index "" << result << ""."" << endl;
    }
    
    return 0;
}"
Write a python function to find sum of products of all possible sublists of a given list. https://www.geeksforgeeks.org/sum-of-products-of-all-possible-subarrays/,
Write a python function to toggle bits of the number except the first and the last bit. https://www.geeksforgeeks.org/toggle-bits-number-expect-first-last-bits/,"Input : 10
Output : 5

Input : 15
Output : 10

Input : 1
Output : 0

Input : 0
Output : 0

Input : 100
Output : 56

Input : 101
Output : 57

Input : 111
Output : 63

Input : 110
Output : 62

Input : 1111
Output : 14

Input : 1110
Output : 14

Input : 1000
Output : 512

Input : 1001
Output : 513

Input : 1010
Output : 514

Input : 1011
Output : 515

Input : 1100
Output : 520

Input : 1101
Output : 521

Input : 1110
Output : 522

Input : 1111
Output : 523

Input : 10000
Output : 1024

Input : 10001
Output : 1025

Input : 10010
Output : 1026

Input : 10011
Output : 1027

Input : 10100
Output : 1028

Input : 10101
Output : 1029

Input : 10110
Output : 1030

Input : 10111
Output : 1031

Input : 11000
Output : 1040

Input : 11001
Output : 1041

Input : 11010
Output : 1042

Input : 11011
Output : 1043

Input : 11100
Output : 1044

Input : 11101
Output : 104"
Write a function to locate the left insertion point for a specified value in sorted order. https://www.w3resource.com/python-exercises/data-structures-and-algorithms/python-data-structure-exercise-24.php,"<jupyter_code>
def insertion_point(lst, val):
    for i in range(len(lst)):
        if lst[i] > val:
            return i
    return len(lst)

lst = [1, 2, 4, 5, 6]
print(insertion_point(lst, 6))
print(insertion_point(lst, -1))
<jupyter_output>
5
0
<jupyter_text>
Write a function to locate the right insertion point for a specified value in sorted order. https://www.w3resource.com/python-exercises/data-structures-and-algorithms/python-data-structure-exercise-24.php
<jupyter_code>
def insertion_point(lst, val):
    for i in range(len(lst)):
        if lst[i] > val:
            return i
    return len(lst)

lst = [1, 2, 4, 5, 6]
print(insertion_point(lst, 6))
print(insertion_point(lst, -1))
<jupyter_output>
5
0
<jupyter_text>
Write a function to find the maximum and minimum numbers from a sequence of numbers. https://www.w3resource.com/python-exercises/data-structures-and-algorithms/python-data-structure-exercise-24.php
<jupyter_code>
def max_min(lst):
    return max(lst), min(lst)

lst = [1, 2, 4, 5, 6]
print(max_min(lst))
<jupyter_output>
(6, 1)
<jupyter_text>
Write a function to calculate the average of a sequence of numbers. https://www.w3resource.com/python-exercises/data-structures-and-algorithms/python-data-structure-exercise-24.php
<jupy"
Write a function to check whether the given string is starting with a vowel or not using regex.,
Write a function to calculate the geometric sum of n-1. https://www.w3resource.com/python-exercises/data-structures-and-algorithms/python-recursion-exercise-9.php,"<jupyter_code>
def geometric_sum(n):
    if n < 0:
        return 0
    else:
        return 1 / pow(2, n) + geometric_sum(n - 1)

print(geometric_sum(5))
<jupyter_output>
0.9375
<jupyter_text>
Write a Python program to calculate the value of 'a' to the power 'b'. https://www.w3resource.com/python-exercises/data-structures-and-algorithms/python-recursion-exercise-10.php
<jupyter_code>
def power(a, b):
    if b == 0:
        return 1
    else:
        return a * power(a, b - 1)

print(power(2, 3))
<jupyter_output>
8
<jupyter_text>
Write a Python program to count the number of digits in a number. https://www.w3resource.com/python-exercises/data-structures-and-algorithms/python-recursion-exercise-11.php
<jupyter_code>
def count_digits(n):
    if n == 0:
        return 0
    else:
        return 1 + count_digits(n // 10)

print(count_digits(12345))
<jupyter_output>
5
<jupyter_text>
Write a Python program to print the first n Fibonacci numbers. https://www.w3resource.com/python-exercises/data-structures-and-algorithms/python-recursion-exercise-12.php
<jupyter_code>
def fibonacci(n):
    if n <= 1:
        return n
    else:
        return fibonacci(n - 1) + fibonacci(n - 2)

n = 10
for i in range(n):
    print(fibonacci(i))
<jupy"
Write a python function to find the index of smallest triangular number with n digits. https://www.geeksforgeeks.org/index-of-smallest-triangular-number-with-n-digits/,
Write a function to convert the given tuple to a key-value dictionary using adjacent elements. https://www.geeksforgeeks.org/python-convert-tuple-to-adjacent-pair-dictionary/,"<jupyter_code>
def convert(tup, di):
    for a, b in tup:
        di.setdefault(a, []).append(b)
    return di
     
# Driver Code    
tups = [(""akash"", 10), (""gaurav"", 12), (""anand"", 14), 
     (""suraj"", 20), (""akhil"", 25), (""ashish"", 30)]
dictionary = {}
print (convert(tups, dictionary))
<jupyter_output>
{'akash': [10], 'gaurav': [12], 'anand': [14], 'suraj': [20], 'akhil': [25], 'ashish': [30]}
<jupyter_text>
Write a function to convert the given tuple to a key-value dictionary using adjacent elements. https://www.geeksforgeeks.org/python-convert-tuple-to-adjacent-pair-dictionary/
<jupyter_code>
def convert(tup, di):
    for a, b in tup:
        di.setdefault(a, []).append(b)
    return di
     
# Driver Code    
tups = [(""akash"", 10), (""gaurav"", 12), (""anand"", 14), 
     (""suraj"", 20), (""akhil"", 25), (""ashish"", 30)]
dictionary = {}
print (convert(tups, dictionary))
<jupyter_output>
{'akash': [10], 'gaurav': [12], 'anand': [14], 'suraj': [20], 'akhil': [25], 'ashish': [30]}
<jupyter_text>
Write a function to convert the given tuple to a key-value dictionary using adjacent elements. https://www.geeksforgeeks.org/python-convert-tuple-to-adjacent-pair-dictionary/
<jupyter_code>
def convert(tup, di):
    for a, b in tup:"
Write a python function to check whether all the characters are same or not.,"Input:

string = ""aaaaa""

Output:

True

Explanation:

All the characters are same.

Input:

string = ""abab""

Output:

False

Explanation:

All the characters are not same."
Write a function to caluclate the area of a tetrahedron.,
Write a function to rotate a given list by specified number of items to the right direction. https://www.geeksforgeeks.org/python-program-right-rotate-list-n/,
Write a function to check if the given tuple has any none value or not.,"Input:

tuple1 = (1, 2, 3, None)

Output:

True

Explanation:

The given tuple has a none value.

Input:

tuple1 = (1, 2, 3)

Output:

False

Explanation:

The given tuple doesn't have any none value."
Write a function to find numbers within a given range from startnum ti endnum where every number is divisible by every digit it contains. https://www.w3resource.com/python-exercises/lambda/python-lambda-exercise-24.php,"<jupyter_code>
def check_num(start_num,end_num):
    result=[]
    for i in range(start_num,end_num+1):
        for j in range(len(str(i))):
            if i%int(str(i)[j])==0:
                result.append(i)
    return result
check_num(1,22)
<jupyter_output>
<empty_output>"
Write a function to find area of a sector. The function takes the radius and angle as inputs. Function should return None if the angle is larger than 360 degrees.,
Write a function to find the longest common subsequence for the given three string sequence. https://www.geeksforgeeks.org/lcs-longest-common-subsequence-three-strings/,
Write a function to put spaces between words starting with capital letters in a given string.,"Example

For inputString = ""SheWalksToTheBeach"", the output should be
solution(inputString) = ""She Walks To The Beach"";
For inputString = ""TheGreatBritainBrewery"", the output should be
solution(inputString) = ""The Great Britain Brewery"".
Input/Output

[execution time limit] 3 seconds (java)

[input] string inputString

A string that consists of lowercase English letters, uppercase English letters, spaces, and/or digits.

Guaranteed constraints:
1 ≤ inputString.length ≤ 100.

[output] string

A string with spaces inserted between words starting with capital letters."
Write a function to sort a given list of strings of numbers numerically. https://www.geeksforgeeks.org/python-sort-numeric-strings-in-a-list/,
Write a function to add the given tuple to the given list.,"Input:

list1 = [(1,2),(3,4),(5,6),(4,5)]

tuple1 = (10,11)

Output:

[(1,2),(3,4),(5,6),(4,5),(10,11)]"
Write a function to check if the given array represents min heap or not. https://www.geeksforgeeks.org/how-to-check-if-a-given-array-represents-a-binary-heap/,
"Write a function to find the nth jacobsthal number. https://www.geeksforgeeks.org/jacobsthal-and-jacobsthal-lucas-numbers/ 0, 1, 1, 3, 5, 11, 21, 43, 85, 171, 341, 683, 1365, 2731, ...",
Write a function to find minimum k records from tuple list. https://www.geeksforgeeks.org/python-find-minimum-k-records-from-tuple-list/ - in this case a verbatim copy of test cases,is not enough.
"We say that an element is common for lists l1, l2, l3 if it appears in all three lists under the same index. Write a function to find common elements from three lists. The function should return a list.","Example:

Input:

l1 = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]

l2 = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]

l3 = [1, 2, 3, 4, 5, 6, 7, 8, 9, 10]

Output:

[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
Write a function to find the second smallest number in a list.,"Example:

secondSmallest([1, 2, -8, -2, 0]) ➞ 0
// The smallest numbers are 1 and -2

secondSmallest([879, 953, 694, -847, 342, 221, -91, -723, 791, -587]) ➞ -847

secondSmallest([3683, 2563, 2754, 2136, 1712, 542, -1153, 769, -561, 578, 412, 1590, 250, -1874, 1534, -355, -699, 465, 694, 478, -989, -795, -127, 1015, -1403, -1448, -357, 1103, -1669, 1037, -1246, -1019, 551, -1083, 1670, -1047, 1894, 1504, 1117, 801, -1409, -1651, 1052, 1679, 174, -1503, -1529, 1416, 1145, -1069, 1379, 1656, 1033, 1199, 1206, 1021, 1463, 1352, 1010, 1907, 1255, 1187, 2000, 1978, 1861, 1754, 1004, 1029, 1874]) ➞ 102"
Write a function that matches a string that has an 'a' followed by one or more 'b's. https://www.w3resource.com/python-exercises/re/python-re-exercise-3.php,"<jupyter_code>
import re
def text_match(text):
    patterns = 'ab?'
    if re.search(patterns,  text):
        return 'Found a match!'
    else:
        return('Not matched!!')

print(text_match(""ac""))
print(text_match(""abc""))
print(text_match(""abbc""))
<jupyter_output>
Found a match
Found a match
Found a match
<jupyter_text>
Write a Python program that matches a string that has an 'a' followed by two to three 'b'. https://www.w3resource.com/python-exercises/re/python-re-exercise-4.php
<jupyter_code>
import re
def text_match(text):
    patterns = 'ab{2,3}'
    if re.search(patterns,  text):
        return 'Found a match!'
    else:
        return('Not matched!!')

print(text_match(""ab""))
print(text_match(""abb""))
print(text_match(""abbb""))
<jupyter_output>
Not matched!!
Found a match
Found a match
<jupyter_text>
Write a Python program that matches a string that has an 'a' followed by anything, ending in 'b'. https://www.w3resource.com/python-exercises/re/python-re-exercise-5.php
<jupyter_code>
import re
def text_match(text):
    patterns = 'a.*?b$'
    if re.search(patterns,  text):
        return 'Found a match!'
    else:
        return('Not matched!!')

print(text_match(""aabbbbd""))
print(text_match(""aabAbbbc""))
print(text_match(""accddbbjjjb""))
<jupyter_output>
Found a match
Found a match
Found a match
<jupyter_text>
Write a Python program that matches a word at the beginning of a string. https://www.w3resource.com/python-exercises"
Write a function to count the pairs of reverse strings in the given string list. https://www.geeksforgeeks.org/python-program-to-count-the-pairs-of-reverse-strings/,
Write a function to count lists within a list. The function should return a dictionary where every list is converted to a tuple and the value of such tuple is the number of its occurencies in the original list.,"Example:

count_lists([1, 2, 3, [1, 2, 3], [1, 2, 3], [1, 2, 3]])

should return:

{
  (1, 2, 3): 3,
  (1, 2, 3,): 3
}"
Write a function to check whether a given string is a decimal number with a precision of 2.,"Example

Input: ""3.14""

Output: true

Input: ""3.""

Output: false

Input: ""3""

Output: true

Input: ""3.1""

Output: true

Input: ""3.145""

Output: false

Input: ""3.000""

Output: true

Input: ""0.3e8""

Output: true

Input: ""0.3e8.1""

Output: false

Input: ""0.03e8""

Output: true

Input: ""12.""

Output: false

Input: ""12.3""

Output: true

Input: ""12.345""

Output: false

Input: ""12.3456""

Output: false

Input: ""12.34e5""

Output: true

Input: ""12.34e5.6""

Output: false

Input: ""12.34e+5""

Output: true

Input: ""12.34e+5.6""

Output: false

Input: ""12.34e-5""

Output: true

Input: ""12.34e-5.6""

Output: false

Input: ""12.34e56""

Output: false

Input: ""12.34e-56""

Output: false

Input: ""12.34e56""

Output: false

Input: ""12.34e-56""

Output: false

Input: ""12.34e56""

Output: false

Input: ""12.34e-56""

Output: false

Input: ""12.34e56""

Output: false

Input: ""12.34e-56""

Output: false

Input: ""12.34e56""

Output: false

Input: ""12.34e-56"""
Write a python function to check whether a list of numbers contains only one distinct element or not.,"Input: [1, 1, 1, 1]
Output: True

Input: [1, 2, 3, 4]
Output: False

Input: [1, 1, 1, 3, 3, 3, 3, 3]
Output: True

Input: [1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3,"
Write a function to check whether the given month number contains 30 days or not. Months are given as number from 1 to 12.,"Input:

Enter the month number: 1

Output:

30 days

Input:

Enter the month number: 5

Output:

31 days

Input:

Enter the month number: 11

Output:

30 days

Input:

Enter the month number: 13

Output:

Invalid input

Input:

Enter the month number: 0

Output:

Invalid input

Input:

Enter the month number: -1

Output:

Invalid input

Input:

Enter the month number: 100

Output:

Invalid input

Input:

Enter the month number: 1000

Output:

Invalid input

Input:

Enter the month number: 10000

Output:

Invalid input

Input:

Enter the month number: 100000

Output:

Invalid input

Input:

Enter the month number: 1000000

Output:

Invalid input

Input:

Enter the month number: 10000000

Output:

Invalid input

Input:

Enter the month number: 100000000

Output:

Invalid input

Input:

Enter the month number: 1000000000

Output:

Invalid input

Input:

Enter the month number: 10000000000

Output:

Invalid input

Input:

Enter the month number: 100000000000

Output:

Invalid input

Input:

Enter the month number: 1000000000000

Output:

Invalid input

Input:

Enter the month number: 10000000000000

Output:

Invalid input

Input:

Enter the month number: 100000000000000

Output:

Invalid input

Input:"
Write a python function to find the minimum difference between any two elements in a given array. https://www.geeksforgeeks.org/find-minimum-difference-pair/,
Write a python function to count number of digits in a given string.,"Sample Input:

string = ""123456789""

Sample Output:

9

Explanation:

The length of the string is 9."
Write a function to find nth polite number. geeksforgeeks.org/n-th-polite-number/,
Write a function to return a list of all pairs of consecutive items in a given list.,"For example, if given the list [1, 2, 3, 4], your function should return [(1, 2), (2, 3), (3, 4)].


def consecutive_pairs(lst):
    return [(lst[i], lst[i + 1]) for i in range(len(lst) - 1)]


print(consecutive_pairs([1, 2, 3, 4]))"
